
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
2025-06-19T08:32:27.959Z - GET /api/data-update/status
2025-06-19T08:32:28.057Z - GET /api/data-update/status
2025-06-19T08:32:28.164Z - GET /api/data-update/status
2025-06-19T08:32:28.269Z - GET /api/data-update/status
2025-06-19T08:32:28.362Z - GET /api/data-update/status
2025-06-19T08:32:28.456Z - GET /api/data-update/status
2025-06-19T08:32:28.554Z - GET /api/data-update/status
2025-06-19T08:32:28.652Z - GET /api/data-update/status
2025-06-19T08:32:28.762Z - GET /api/data-update/status
2025-06-19T08:32:28.869Z - GET /api/data-update/status
2025-06-19T08:32:28.962Z - GET /api/data-update/status
2025-06-19T08:32:29.072Z - GET /api/data-update/status
2025-06-19T08:32:29.170Z - GET /api/data-update/status
2025-06-19T08:32:29.271Z - GET /api/data-update/status
2025-06-19T08:32:29.383Z - GET /api/data-update/status
2025-06-19T08:32:29.478Z - GET /api/data-update/status
2025-06-19T08:32:29.573Z - GET /api/data-update/status
2025-06-19T08:32:29.668Z - GET /api/data-update/status
2025-06-19T08:32:29.781Z - GET /api/data-update/status
2025-06-19T08:32:29.878Z - GET /api/data-update/status
2025-06-19T08:32:29.982Z - GET /api/data-update/status
2025-06-19T08:32:30.082Z - GET /api/data-update/status
2025-06-19T08:32:30.194Z - GET /api/data-update/status
2025-06-19T08:32:30.291Z - GET /api/data-update/status
2025-06-19T08:32:30.400Z - GET /api/data-update/status
2025-06-19T08:32:30.502Z - GET /api/data-update/status
2025-06-19T08:32:30.608Z - GET /api/data-update/status
2025-06-19T08:32:30.702Z - GET /api/data-update/status
2025-06-19T08:32:30.818Z - GET /api/data-update/status
2025-06-19T08:32:30.934Z - GET /api/data-update/status
2025-06-19T08:32:31.074Z - GET /api/data-update/status
2025-06-19T08:32:31.180Z - GET /api/data-update/status
2025-06-19T08:32:31.270Z - GET /api/data-update/status
2025-06-19T08:32:31.363Z - GET /api/data-update/status
2025-06-19T08:32:31.460Z - GET /api/data-update/status
2025-06-19T08:32:31.558Z - GET /api/data-update/status
2025-06-19T08:32:31.688Z - GET /api/data-update/status
2025-06-19T08:32:31.794Z - GET /api/data-update/status
2025-06-19T08:32:31.896Z - GET /api/data-update/status
2025-06-19T08:32:31.995Z - GET /api/data-update/status
2025-06-19T08:32:32.103Z - GET /api/data-update/status
2025-06-19T08:32:32.205Z - GET /api/data-update/status
2025-06-19T08:32:32.310Z - GET /api/data-update/status
2025-06-19T08:32:32.405Z - GET /api/data-update/status
2025-06-19T08:32:32.498Z - GET /api/data-update/status
