formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
20/02/2025,1.4256342497791465e+07,4295,573,1.4148807652390078e+07,88039.47743665813,19495.367964730915,4224,45,26,3722,125126.81461237613,717.1713396420008,0.2633646711441271,0.275392210441851,76259,7290,82821,0,0,0,0
21/02/2025,1.145081248219457e+07,4183,531,1.1174092101057045e+07,264387.3589936732,12333.022143852397,4098,65,20,3652,102294.57537297317,574.8876114730003,0.9227226209507536,0.18530428634618995,75294,7446,83352,0,0,0,0
22/02/2025,9.48054210282842e+06,3640,518,9.347882988649927e+06,49386.974580376955,83272.13959812059,3552,33,55,3122,81850.54421782975,467.4950261250006,0.16937925318288533,1.2014716571511719,58334,5418,83870,0,0,0,0
23/02/2025,9.465908063785035e+06,3753,552,9.358977645407645e+06,103138.77427826874,3791.644099115854,3703,15,35,3201,82229.71011285736,479.65108670000046,0.322513700124334,0.053583505444824035,57384,5585,84422,0,0,0,0
24/02/2025,9.031536829672975e+06,3652,486,8.857599447488932e+06,157930.07413373145,16007.308050313613,3572,44,36,3166,78272.94522985145,487.9809300890006,0.5344975244337379,0.24950195200776193,60628,7025,84908,0,0,0,0
25/02/2025,6.08004478343198e+06,3461,461,5.963589881859235e+06,108448.74973690868,8006.151835835825,3398,33,30,3000,54533.305668702356,377.252721803,0.4306182053239293,0.12740391417976388,51699,6093,85369,0,0,0,0
26/02/2025,5.672909656395032e+06,3289,392,5.567785032493092e+06,53802.26461285601,51322.35928908336,3236,31,22,2897,51231.16148910585,362.2118113450006,0.21267244260247806,0.833481208436997,51510,6264,85761,0,0,0,0
27/02/2025,6.633616390327774e+06,3228,408,6.569921783019846e+06,51612.9467164653,12081.660591461115,3168,36,24,2820,59067.25822713571,423.1418747300013,0.21015429878275832,0.19601868584840895,60112,6568,86169,0,0,0,0
28/02/2025,4.866683127407266e+06,3264,768,4.750209888662261e+06,64135.649342392746,52337.58940261039,3208,27,29,2496,42697.21283803549,295.98966137100035,0.27876511001288706,0.8585914741769817,47006,5259,86937,0,0,0,0
01/03/2025,3.3327863704697383e+06,2492,336,3.2421012633941574e+06,57451.342176855294,33233.7648987247,2449,30,13,2156,29238.71265113771,198.60741143699994,0.24369672164537817,0.5505862934407354,32794,4517,87273,0,0,0,0
02/03/2025,7.26598544125848e+06,3521,744,6.903040207885142e+06,37528.114899530025,325417.1184738084,3373,29,119,2777,64551.980718879524,376.6977710690003,0.14738005030747056,4.892130652560135,55034,6993,88017,0,0,0,0
03/03/2025,7.739765445079583e+06,3831,785,7.530189436530432e+06,21338.19589840233,188237.81265074876,3771,18,42,3046,69761.53903188757,431.7758301690014,0.08335020932635245,2.8504436968022304,54681,5768,88802,0,0,0,0
04/03/2025,6.5642807210464645e+06,3231,431,6.541072934203131e+06,18577.605391669586,4630.181451665864,3193,24,14,2800,56647.09456915267,402.8118269050004,0.08262202441869407,0.0814474044439385,52044,5130,89233,0,0,0,0
